WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
ICP Project - Online Version,Marketing,ICP - Opportunities,ICPProject-OnlineVersion/ICP-Opportunities,ICP Data Source - Online Version,'CONTACT ROLES$'
ICP Project - Online Version,Marketing,ICP - Opportunities,ICPProject-OnlineVersion/ICP-Opportunities,ICP Data Source - Online Version,'CONTACT ROLES$'
ICP - Draft Version,Marketing Dev,ICP - Opportunity Pivots,ICP-DraftVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'CONTACT ROLES$'
ICP - Draft Version,Marketing Dev,ICP - Opportunity Pivots,ICP-DraftVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'CONTACT ROLES$'
ICP Project - Online Version,Marketing,ICP - Opportunity Pivots,ICPProject-OnlineVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'CONTACT ROLES$'
ICP Project - Online Version,Marketing,ICP - Opportunity Pivots,ICPProject-OnlineVersion/ICP-OpportunityPivots,ICP Data Source - Online Version,'CONTACT ROLES$'
Customer Utilization,Product Dev,Customer Utilization Report,CustomerUtilization/CustomerUtilizationReport,Customer Utilization DS,'CUSTOMER DASHBOARD$'
Customer Utilization Report,Product UAT,Customer Utilization Report,CustomerUtilizationReport/CustomerUtilizationReport,Customer Utilization DS,'CUSTOMER DASHBOARD$'
SearchUnify Report,Customer Support,SU Dashboard,SearchUnifyReport_17062221432190/SUDashboard,VIEW_CASE_DS+ (Multiple Connections),'INDEX NAMES$'
SearchUnify Report,Support Dev,SU Dashboard,SearchUnifyReport/SUDashboard,SearchUnify Report Data Source,'INDEX NAMES$'
SearchUnify Report,Support Dev,SU Dashboard,SearchUnifyReport/SUDashboard,SearchUnify Report Data Source,'INDEX NAMES$'
CSX Health Metrics Dashboard,Personal Space,CSX Health metrics,CSX_Healthmetrics_dashboard_WIP/CSXHealthmetrics,CSX_health_ R&D Revenue Ratio ,'R&D REVENUE RATIO$'
CSX Health Metrics Dashboard,Product,CSX Health metrics,CSXHealthMetricsDashboard/CSXHealthmetrics,CSX_health_ R&D Revenue Ratio ,'R&D REVENUE RATIO$'
Accounts Analysis CSOD July Americas,Archive,% Prospect Accounts Top Level -Americas ,AccountsAnalysisCSODJulyAmericas/ProspectAccountsTopLevel-Americas_1,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW ACCOUNTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,% Prospect Country Accounts Top Level - Americas,AccountsAnalysisCSODJulyAmericas/ProspectCountryAccountsTopLevel-Americas_1,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW ACCOUNTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Accounts Top Level -Americas,AccountsAnalysisCSODJulyAmericas/ProspectAccountsTopLevel-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW ACCOUNTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Contacts Overview - Americas,AccountsAnalysisCSODJulyAmericas/ProspectContactsOverview-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW ACCOUNTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Country Accounts Top Level - Americas,AccountsAnalysisCSODJulyAmericas/ProspectCountryAccountsTopLevel-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW ACCOUNTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,% Prospect Accounts Top Level -Americas ,AccountsAnalysisCSODJulyAmericas/ProspectAccountsTopLevel-Americas_1,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW CONTACTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,% Prospect Country Accounts Top Level - Americas,AccountsAnalysisCSODJulyAmericas/ProspectCountryAccountsTopLevel-Americas_1,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW CONTACTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Accounts Top Level -Americas,AccountsAnalysisCSODJulyAmericas/ProspectAccountsTopLevel-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW CONTACTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Contacts Overview - Americas,AccountsAnalysisCSODJulyAmericas/ProspectContactsOverview-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW CONTACTS DATA CSOD$'
Accounts Analysis CSOD July Americas,Archive,Prospect Country Accounts Top Level - Americas,AccountsAnalysisCSODJulyAmericas/ProspectCountryAccountsTopLevel-Americas,Raw Accounts Data CSOD (International Contacts & Accounts - Pool_TABLEAU),'RAW CONTACTS DATA CSOD$'
